questions,answers
Verschaf mij een overzicht van alle zorgverleners en geef aan of zij momenteel nog actief zijn in hun praktijk.,"SELECT systeemzorgverlener.eigennaam, systeemzorgverlener.voorletters, systeemzorgverlener_zorginstelling.statusinpraktijk FROM systeemzorgverlener_zorginstelling LEFT JOIN systeemzorgverlener on systeemzorgverlener_zorginstelling.systeemzorgverlener_id = systeemzorgverlener.id"
Geef mij de voor- en achternaam van clienten die in Amsterdam wonen en vrouw zijn,"SELECT firstnames, eigennaam FROM patient WHERE plaats = 'Amsterdam' and geslacht = 'vrouw'"
Ik wil graag de namen van vrouwelijke cliënten die momenteel in Amsterdam verblijven.,"SELECT firstnames, eigennaam FROM patient WHERE plaats = 'Amsterdam' and geslacht = 'vrouw'"
Geef mij het aantal afspraken per kliniek per jaar gesorteerd op jaar,"SELECT clinic_id, year(intervalstart), count(*) FROM appointment GROUP BY clinic_id, year(intervalstart) ORDER BY year(intervalstart)"
"Verschaf me de aantallen afspraken per kliniek, geordend per jaar van afspraak.","SELECT clinic_id, year(intervalstart), count(*) FROM appointment GROUP BY clinic_id, year(intervalstart) ORDER BY year(intervalstart)"
Haal de messages van alle textmessages op waar 'bas' in voorkomt.,SELECT message FROM textmessage WHERE message LIKE '%bas%'
Verkrijg de berichten van alle tekstberichten waarin de term 'bas' aanwezig is.,SELECT message FROM textmessage WHERE message LIKE '%bas%'
Haal alle emailadressen op waar 'gmail' in voorkomt.,SELECT email FROM patient_email WHERE email LIKE '%gmail%'
Verzamel de e-mailadressen waarin het domein 'gmail' is opgenomen.,SELECT email FROM patient_email WHERE email LIKE '%gmail%'
"Geef mij de namen en accountnamen van medewerkers die gedeactiveerd zijn, samen met de datum waarop deze is gedeactiveerd","SELECT firstname, surname, abbreviation, deactivate FROM employee WHERE deactivate is not null"
"Toon me de namen en accountnamen van inactieve medewerkers, samen met de deactiveringsdatum","SELECT firstname, surname, abbreviation, deactivate FROM employee WHERE deactivate is not null"
"Geef mij alle zorgverleners, hun praktijknaam, en laat zien of ze nog werkzaam zijn bij hun praktijk","SELECT systeemzorgverlener.eigennaam, systeemzorgverlener.voorletters, systeemzorgverlener_zorginstelling.statusinpraktijk, systeemzorginstelling.naam FROM systeemzorgverlener_zorginstelling INNER JOIN systeemzorgverlener on systeemzorgverlener_zorginstelling.systeemzorgverlener_id = systeemzorgverlener.id INNER JOIN systeemzorginstelling on systeemzorgverlener_zorginstelling.systeemzorginstelling_id = systeemzorginstelling.id"
"Verschaf mij een opsomming van zorgverleners met hun respectieve praktijknamen, en geef aan of zij nog actief zijn in hun praktijk.","SELECT systeemzorgverlener.eigennaam, systeemzorgverlener.voorletters, systeemzorgverlener_zorginstelling.statusinpraktijk, systeemzorginstelling.naam FROM systeemzorgverlener_zorginstelling INNER JOIN systeemzorgverlener on systeemzorgverlener_zorginstelling.systeemzorgverlener_id = systeemzorgverlener.id INNER JOIN systeemzorginstelling on systeemzorgverlener_zorginstelling.systeemzorginstelling_id = systeemzorginstelling.id"
"Per soort kliniek, hoeveel klinieken zijn er?","SELECT zorgverlenertype, count(id) FROM kliniek WHERE bezoekplaats = 'Utrecht' GROUP BY zorgverlenertype"
Hoeveel instellingen zijn er per type kliniek geregistreerd?,"SELECT zorgverlenertype, count(id) FROM kliniek WHERE bezoekplaats = 'Utrecht' GROUP BY zorgverlenertype"
Wat is de rol van Hannah Hendriks en wat is haar contact e-mailadres?,"SELECT function, email FROM employee WHERE firstname = 'Hannah' and surname = 'Hendriks';"
Welke functie heeft gebruiker Hannah Hendriks binnen de organisatie en op welk e-mailadres kan ik haar bereiken?,"SELECT function, email FROM employee WHERE firstname = 'Hannah' and surname = 'Hendriks';"
Geef mij de namen van alle patiënten samen met de datum van hun eerste afspraak bij ons,"SELECT roepnaam, eigennaam, first_appointment_date FROM patient"
Toon mij de namen van alle cliënten en de datum van hun initiële consultatie bij onze organisatie,"SELECT roepnaam, eigennaam, first_appointment_date FROM patient"
Geef me het emailadres van Tom Winter,"SELECT patient.ROEPNAAM , patient.EIGENNAAM, patient_email.EMAIL FROM patient LEFT JOIN patient_email on patient_email.patient_id = patient.id WHERE patient.ROEPNAAM = 'Tom' and patient.EIGENNAAM = 'Winter'"
Verschaf mij het e-mailadres van de individu genaamd Tom Winter.,"SELECT patient.ROEPNAAM , patient.EIGENNAAM, patient_email.EMAIL FROM patient LEFT JOIN patient_email on patient_email.patient_id = patient.id WHERE patient.ROEPNAAM = 'Tom' and patient.EIGENNAAM = 'Winter'"
Welke zorgtrajecten heeft Jelle Belfor op dit moment?,"SELECT patient.ROEPNAAM, patient.EIGENNAAM, zorgtraject.NAAM FROM patient LEFT JOIN zorgtraject on zorgtraject.patient_id = patient.id WHERE zorgtraject.PATIENT_ID = 4 and zorgtraject.EINDDATUM is null"
Welke zorgtrajecten volgt Jelle Belfor momenteel?,"SELECT patient.ROEPNAAM, patient.EIGENNAAM, zorgtraject.NAAM FROM patient LEFT JOIN zorgtraject on zorgtraject.patient_id = patient.id WHERE zorgtraject.PATIENT_ID = 4 and zorgtraject.EINDDATUM is null"
Wat is het aantal patiënten met een aanvullende verzekering?,"SELECT DISTINCT(count(patient.ID)), assurantienl.dekkingstype FROM patient LEFT JOIN assurantienl on assurantienl.patient_id = patient.id AND current_timestamp BETWEEN assurantienl.ingangsdatum AND assurantienl.vervaldatum WHERE LOWER(assurantienl.DEKKINGSTYPE) LIKE '%aanvullend%' GROUP BY assurantienl.DEKKINGSTYPE"
Hoeveel patiënten zijn aanvullend verzekerd?,"SELECT DISTINCT(count(patient.ID)), assurantienl.dekkingstype FROM patient LEFT JOIN assurantienl on assurantienl.patient_id = patient.id AND current_timestamp BETWEEN assurantienl.ingangsdatum AND assurantienl.vervaldatum WHERE LOWER(assurantienl.DEKKINGSTYPE) LIKE '%aanvullend%' GROUP BY assurantienl.DEKKINGSTYPE"
Geef me een overzicht van de 5 meest voorkomende behandelingen,"SELECT NAAM, count(NAAM) FROM behandeling GROUP BY NAAM ORDER BY COUNT(NAAM) DESC LIMIT 5"
Wat zijn de vijf meest voorkomende behandelingen?,"SELECT NAAM, count(NAAM) FROM behandeling GROUP BY NAAM ORDER BY COUNT(NAAM) DESC LIMIT 5"
Welke afspraken heeft cliënt Niels Jong gehad?,SELECT appointment.* FROM appointment LEFT JOIN appointmentparticipation ON appointment.id = appointmentparticipation.appointment_id LEFT JOIN participant ON participant.id = appointmentparticipation.participant_id LEFT JOIN patient ON patient.id = participant.patient_id WHERE patient.ROEPNAAM = 'Niels' and patient.EIGENNAAM = 'Jong'
Kunt u mij alstublieft informeren over de afspraken die cliënt Niels Jong heeft gehad?,SELECT appointment.* FROM appointment LEFT JOIN appointmentparticipation ON appointment.id = appointmentparticipation.appointment_id LEFT JOIN participant ON participant.id = appointmentparticipation.participant_id LEFT JOIN patient ON patient.id = participant.patient_id WHERE patient.ROEPNAAM = 'Niels' and patient.EIGENNAAM = 'Jong'
Geef me een overzicht van de behandelingen die client 39 heeft gehad.,SELECT behandeling.* FROM patient LEFT JOIN zorgtraject ON zorgtraject.patient_id = patient.id LEFT JOIN behandeling ON behandeling.zorgtraject_id = zorgtraject.id WHERE patient.ID = 39
Zou u zo vriendelijk willen zijn om mij een opsomming te verstrekken van de behandelingen die zijn ondergaan door cliënt 39?,SELECT behandeling.* FROM patient LEFT JOIN zorgtraject ON zorgtraject.patient_id = patient.id LEFT JOIN behandeling ON behandeling.zorgtraject_id = zorgtraject.id WHERE patient.ID = 39
"Laat me de eerste 250 behandelingen en zorgtrajecten zien, inclusief hun ID's.",SELECT zorgtraject.id FROM zorgtraject UNION SELECT behandeling.id FROM behandeling LIMIT 250
"Toon alle behandelingen en zorgtraject IDs, gelimiteerd tot de eerste 250 resultaten.",SELECT zorgtraject.id FROM zorgtraject UNION SELECT behandeling.id FROM behandeling LIMIT 250
Geef me de eerste afspraak van elke patient.,"SELECT patient.id AS patient_id, appointment.* FROM (SELECT patient.id, min(appointment.intervalstart) AS min_intervalstart FROM appointment LEFT JOIN appointmentparticipation ON appointment.id = appointmentparticipation.appointment_id LEFT JOIN participant ON participant.id = appointmentparticipation.participant_id LEFT JOIN patient ON patient.id = participant.patient_id GROUP BY patient.id) AS earliest_appointments INNER JOIN patient on patient.id = earliest_appointments.id INNER JOIN appointment on appointment.intervalstart = earliest_appointments.min_intervalstart"
Laat mij de initiële afspraak van iedere individuele patiënt zien.,"SELECT patient.id AS patient_id, appointment.* FROM (SELECT patient.id, min(appointment.intervalstart) AS min_intervalstart FROM appointment LEFT JOIN appointmentparticipation ON appointment.id = appointmentparticipation.appointment_id LEFT JOIN participant ON participant.id = appointmentparticipation.participant_id LEFT JOIN patient ON patient.id = participant.patient_id GROUP BY patient.id) AS earliest_appointments INNER JOIN patient on patient.id = earliest_appointments.id INNER JOIN appointment on appointment.intervalstart = earliest_appointments.min_intervalstart"
"Ik wil een overzicht hoeveel patiënten er zijn per leeftijdsgroep '<25', '25-49', '50-74', en '>74'","SELECT SUM(CASE WHEN leeftijd < 25 THEN 1 ELSE 0 END) AS Jonger_dan_25, SUM(CASE WHEN leeftijd BETWEEN 25 AND 49 THEN 1 ELSE 0 END) AS tussen_25_en_49, SUM(CASE WHEN leeftijd BETWEEN 50 AND 74 THEN 1 ELSE 0 END) AS tussen_50_en_74, SUM(CASE WHEN leeftijd > 74 THEN 1 ELSE 0 END) AS ouder_dan_74 FROM (SELECT id, DATEDIFF(year, geboortedatum, current_date) AS leeftijd FROM patient) AS leeftijd_tabel INNER JOIN patient on patient.id = leeftijd_tabel.id"
"Verschaf mij een opsomming van het aantal patiënten gegroepeerd op leeftijdscategorieën '<25', '25-49', '50-74', en '>74'","SELECT SUM(CASE WHEN leeftijd < 25 THEN 1 ELSE 0 END) AS Jonger_dan_25, SUM(CASE WHEN leeftijd BETWEEN 25 AND 49 THEN 1 ELSE 0 END) AS tussen_25_en_49, SUM(CASE WHEN leeftijd BETWEEN 50 AND 74 THEN 1 ELSE 0 END) AS tussen_50_en_74, SUM(CASE WHEN leeftijd > 74 THEN 1 ELSE 0 END) AS ouder_dan_74 FROM (SELECT id, DATEDIFF(year, geboortedatum, current_date) AS leeftijd FROM patient) AS leeftijd_tabel INNER JOIN patient on patient.id = leeftijd_tabel.id"
Hoeveel patiënten werden er het afgelopen jaar per maand geregistreerd?,"SELECT MONTH(INVOERDATUM) MONTH, COUNT(*) FROM patient WHERE YEAR(INVOERDATUM) = YEAR(CURRENT_DATE) GROUP BY  MONTH(INVOERDATUM) ORDER BY MONTH"
Ik wil graag een gedetailleerde weergave van het aantal patiënten dat maandelijks geregistreerd is gedurende het afgelopen jaar.,"SELECT MONTH(INVOERDATUM) MONTH, COUNT(*) FROM patient WHERE YEAR(INVOERDATUM) = YEAR(CURRENT_DATE) GROUP BY  MONTH(INVOERDATUM) ORDER BY MONTH"
Geef me alle afspraken van Liesbeth Bruijn in 2018.,SELECT appointment.* FROM appointment LEFT JOIN appointmentparticipation on appointmentparticipation.appointment_id = appointment.id LEFT JOIN participant on participant.id = appointmentparticipation.participant_id LEFT JOIN employee on employee.id = participant.employee_id WHERE employee.firstname = 'Liesbeth' and employee.surname = 'Bruijn' and YEAR(appointment.intervalstart) = '2018'
Verschaf mij een overzicht van alle afspraken van Liesbeth Bruijn gedurende het jaar 2018.,SELECT appointment.* FROM appointment LEFT JOIN appointmentparticipation on appointmentparticipation.appointment_id = appointment.id LEFT JOIN participant on participant.id = appointmentparticipation.participant_id LEFT JOIN employee on employee.id = participant.employee_id WHERE employee.firstname = 'Liesbeth' and employee.surname = 'Bruijn' and YEAR(appointment.intervalstart) = '2018'
Bij welke koepelorganisatie zitten de verzekerde cliënten?,"SELECT patient.roepnaam, patient.eigennaam, koepelorganisatie.naam FROM patient LEFT JOIN assurantienl ON assurantienl.patient_id = patient.id AND current_timestamp BETWEEN assurantienl.ingangsdatum AND assurantienl.vervaldatum AND assurantienl.dekkingstype='basis' LEFT JOIN systeemmaatschappijnl on systeemmaatschappijnl.id = assurantienl.maatschappij_id LEFT JOIN koepelorganisatie_maatschappij on koepelorganisatie_maatschappij.maatschappij_id = systeemmaatschappijnl.id LEFT JOIN koepelorganisatie on koepelorganisatie.id = koepelorganisatie_maatschappij.koepelorganisatie_id WHERE assurantienl.verzekerd = 'ja'"
Welke overkoepelende organisatie bedient de verzekerde cliënten?,"SELECT patient.roepnaam, patient.eigennaam, koepelorganisatie.naam FROM patient LEFT JOIN assurantienl ON assurantienl.patient_id = patient.id AND current_timestamp BETWEEN assurantienl.ingangsdatum AND assurantienl.vervaldatum AND assurantienl.dekkingstype='basis' LEFT JOIN systeemmaatschappijnl on systeemmaatschappijnl.id = assurantienl.maatschappij_id LEFT JOIN koepelorganisatie_maatschappij on koepelorganisatie_maatschappij.maatschappij_id = systeemmaatschappijnl.id LEFT JOIN koepelorganisatie on koepelorganisatie.id = koepelorganisatie_maatschappij.koepelorganisatie_id WHERE assurantienl.verzekerd = 'ja'"
Geef me een overzicht van patiënten en hun behandelingen die nog niet zijn uitgevoerd. Sorteer het overzicht op achternaam.,"SELECT distinct(behandeling.id) as id_check, patient.roepnaam, patient.eigennaam, behandeling.* FROM behandeling LEFT JOIN behandelingggz_systeemggzactiviteit on behandelingggz_systeemggzactiviteit.behandeling_id = behandeling.id LEFT JOIN zorgtraject on behandeling.zorgtraject_id = zorgtraject.id LEFT JOIN patient on patient.id = zorgtraject.patient_id WHERE behandelingggz_systeemggzactiviteit.uitgevoerd = 'nee' ORDER BY patient.eigennaam"
"Verschaf mij een overzicht van de patiënten en hun behandelingen die nog niet zijn uitgevoerd, gerangschikt op achternaam.","SELECT distinct(behandeling.id) as id_check, patient.roepnaam, patient.eigennaam, behandeling.* FROM behandeling LEFT JOIN behandelingggz_systeemggzactiviteit on behandelingggz_systeemggzactiviteit.behandeling_id = behandeling.id LEFT JOIN zorgtraject on behandeling.zorgtraject_id = zorgtraject.id LEFT JOIN patient on patient.id = zorgtraject.patient_id WHERE behandelingggz_systeemggzactiviteit.uitgevoerd = 'nee' ORDER BY patient.eigennaam"
"Geef mij alle afspraken gemaakt in 2023 bij de patient thuis, met de laatste aangepaste afspraak bovenaan",SELECT * FROM appointment WHERE YEAR(created) = 2023 and address_type = 'patient' ORDER BY modified DESC
"Toon mij een overzicht van afspraken die in 2023 bij de patiënt thuis zijn gepland, gesorteerd op de meest recent aangepaste afspraak, waarbij de nieuwste bovenaan staat",SELECT * FROM appointment WHERE YEAR(created) = 2023 and address_type = 'patient' ORDER BY modified DESC
"Geef me de startdatums van alle zorgtrajecten van Hanna Donkelaar, oudste bovenaan","SELECT patient.roepnaam, patient.eigennaam, zorgtraject.startdatum FROM patient LEFT JOIN zorgtraject on patient.id = zorgtraject.patient_id WHERE patient.roepnaam = 'Hanna' and patient.eigennaam = 'Donkelaar' ORDER BY zorgtraject.startdatum"
"Verschaf mij de aanvangsdata van de diverse zorgtrajecten van Hanna Donkelaar, waarbij de oudst gecreëerde zorgtrajecten als eerste worden gepresenteerd.","SELECT patient.roepnaam, patient.eigennaam, zorgtraject.startdatum FROM patient LEFT JOIN zorgtraject on patient.id = zorgtraject.patient_id WHERE patient.roepnaam = 'Hanna' and patient.eigennaam = 'Donkelaar' ORDER BY zorgtraject.startdatum"
